pdname(ID),brand,SSD.cp,HDD.cp,RAM.cp,CPU.brand,CPU.bench,core num,screen size,resolution,DDR,SSD.kind,GPU.brand,GPU.brand,VRAM,HDMI,USB num,num keypad,weight,thickness,multireader,battery,operating system,price
LG전자 울트라기어 GT 15UD780-PX50K,8,256,0,8,1,7677,4,15.6,1,1,2,2,4727,4,1,3,0,1.9,19.9,1,60,0,887000
LG전자 울트라기어 GT 15UD780-PX50K,8,512,0,8,1,7677,4,15.6,1,1,2,2,4727,4,1,3,0,1.9,19.9,1,60,0,946000
LG전자 울트라기어 GT 15UD780-PX50K,8,256,0,16,1,7677,4,15.6,1,1,2,2,4727,4,1,3,0,1.9,19.9,1,60,0,911000
LG전자 울트라기어 GT 15UD780-PX50K,8,256,512,8,1,7677,4,15.6,1,1,2,2,4727,4,1,3,0,1.9,19.9,1,60,0,963000
LG전자 울트라기어 GT 15UD780-PX50K,8,256,1024,8,1,7677,4,15.6,1,1,2,2,4727,4,1,3,0,1.9,19.9,1,60,0,914000
한성컴퓨터 H58 DGA5,17,256,0,8,1,3489,6,15.6,1,1,2,0,1212,0,1,3,0,2.26,30.8,1,47,0,655000
한성컴퓨터 BossMonster EX7979KF,17,512,1024,32,1,20659,8,17.3,1,1,3,2,14170,8,1,3,0,4,40.9,1,82,0,2840000
레노버 LEGION Y540-15IRH i7 Blade Edition,12,512,1024,16,1,13723,6,15.6,1,1,3,2,11472,6,1,2,0,2.3,26,0,57,0,1435000
APPLE 맥북프로 2019년형 MV912KH/A CTO,2,512,0,16,1,16768,8,15.4,2,1,1,1,3475,4,0,2,0,1.83,15.5,0,83.6,1,3045000
DELL G5 15 5590 D505G5590118KR,4,512,0,16,1,13723,6,15.6,1,1,3,2,11398,8,1,3,0,2.68,23.7,1,60,3,2180000
DELL G5 15 5590 D505G5590118KR,4,512,0,32,1,13723,6,15.6,1,1,3,2,11398,8,1,3,0,2.68,23.7,1,60,3,2530000
DELL G5 15 5590 D505G5590118KR,4,1024,0,16,1,13723,6,15.6,1,1,3,2,11398,8,1,3,0,2.68,23.7,1,60,3,2490000
APPLE 맥북프로 2019년형 MV972KH/A CTO,2,512,0,8,1,11015,4,13.3,2,2,1,0,1965,0,0,2,0,1.37,14.9,0,58,1,2193410
MSI GF시리즈 GF75 Thin 9SC-i7,9,128,0,8,1,13723,6,17.3,1,1,3,2,7841,4,1,2,0,2.2,23.1,1,51,0,1127000
MSI GF시리즈 GF75 Thin 9SC-i7,9,256,0,8,1,13723,6,17.3,1,1,3,2,7841,4,1,2,0,2.2,23.1,1,51,0,1265000
MSI GF시리즈 GF75 Thin 9SC-i7,9,512,0,8,1,13723,6,17.3,1,1,3,2,7841,4,1,2,0,2.2,23.1,1,51,0,1216000
MSI GF시리즈 GF75 Thin 9SC-i7,9,1024,0,8,1,13723,6,17.3,1,1,3,2,7841,4,1,2,0,2.2,23.1,1,51,0,1358000
MSI GF시리즈 GF75 Thin 9SC-i7,9,128,512,8,1,13723,6,17.3,1,1,3,2,7841,4,1,2,0,2.2,23.1,1,51,0,1252000
